,model,dataset,dataset_type,experiment,iteration,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,sequence_length,dimensions,emissions_kg,duration,n_parameters,project_id,ready,with_random_removal
0,FCN,ChlorineConcentration,time_series,e00,0,0.7325399518013,0.7562500238418579,0.7325399518013,1.0,1.0,0.76821368932724,0.741406261920929,0.8896108865737915,0.7562500238418579,578,467,1.0,467,Sensor,3,166,1,0.000900572718358,143.90984296798706,266115,967f6ab9-ecac-4fce-8c0a-912b5f4facc3,True,False
1,FCN,ChlorineConcentration,time_series,e00,1,0.697439432144165,0.7744791507720947,0.697439432144165,1.0,1.0,0.787274181842804,0.7604166865348816,0.905027449131012,0.77447909116745,476,467,1.0,467,Sensor,3,166,1,0.0007842779802681,138.70536422729492,266115,a4d88a5f-05fd-411d-acdb-c144cd887688,True,False
2,RESNET,PhalangesOutlinesCorrect,time_series,e00,0,0.7549663186073303,0.8414918184280396,0.7549663186073303,1.0,1.0,0.8414918184280396,0.8414918184280396,0.8931882381439209,0.8414918184280396,310,1800,1.0,1800,Image,2,80,1,0.0011124068064538,167.53938961029053,506818,399d25d1-3f03-4c72-ba7a-3312d5881852,True,False
3,RESNET,StarLightCurves,time_series,e00,0,0.1001540347933769,0.976930558681488,0.1001540347933769,1.0,1.0,0.9770240783691406,0.975837767124176,0.9941040873527528,0.976930558681488,461,1000,1.0,1000,Sensor,3,1024,1,0.0062769388053704,915.2604937553406,506947,6b70bfb4-be6c-43ea-84e6-1beece329e2d,True,False
4,FCN,ChlorineConcentration,time_series,e00,2,0.6751213669776917,0.7635416388511658,0.6751213669776917,1.0,1.0,0.7785888314247131,0.75,0.9020166993141174,0.7635416388511658,484,467,1.0,467,Sensor,3,166,1,0.0007643576861742,123.49893093109132,266115,32f064c4-73c4-47aa-826d-b71deb940583,True,False
5,RESNET,PhalangesOutlinesCorrect,time_series,e00,1,0.7427758574485779,0.7808857560157776,0.7427758574485779,1.0,1.0,0.7808857560157776,0.7808857560157776,0.8533262014389038,0.7808857560157776,253,1800,1.0,1800,Image,2,80,1,0.0008683925022178,130.69449043273926,506818,ef3b8084-1bff-44cb-853f-0ae30e1f37d8,True,False
6,FCN,ChlorineConcentration,time_series,e00,3,0.7870839834213257,0.7796875238418579,0.7870839834213257,1.0,1.0,0.7889153957366943,0.7747395634651184,0.906183421611786,0.7796875834465027,578,467,1.0,467,Sensor,3,166,1,0.0008772893444307,156.86618089675903,266115,3d12c45b-e06b-4e46-b7a3-fca86b7c63ee,True,False
7,RESNET,PhalangesOutlinesCorrect,time_series,e00,2,0.7372612357139587,0.8018648028373718,0.7372612357139587,1.0,1.0,0.8018648028373718,0.8018648028373718,0.8670445084571838,0.8018648624420166,252,1800,1.0,1800,Image,2,80,1,0.0008824777206207,130.16678500175476,506818,1e39be19-9c98-4c2b-9211-d3ad793c50eb,True,False
8,RESNET,StarLightCurves,time_series,e00,1,0.1451237052679062,0.9711024761199952,0.1451237052679062,1.0,1.0,0.9714528918266296,0.9709810614585876,0.9919991493225098,0.9711024761199952,677,1000,1.0,1000,Sensor,3,1024,1,0.0089892348800783,1303.7913465499878,506947,828d248b-8842-49e9-81fe-2b15f94cc627,True,False
9,FCN,ChlorineConcentration,time_series,e00,4,0.7730459570884705,0.7768229246139526,0.7730459570884705,1.0,1.0,0.7854088544845581,0.7653645873069763,0.9042479991912842,0.7768229246139526,576,467,1.0,467,Sensor,3,166,1,0.0008768847757667,141.06411027908325,266115,5308379c-8471-45fb-aa22-812e0a56b703,True,False
